"","ID_PSU","STRATUM","PSU_SEL","code1","PSU_code","SpRich","SpRichAvgM","NrOfFamili","O","S","W","Insectivor","Granivore","Omnivore","FuncGroupR","FuncGrou_1","Shannon","Simpson","InvSimpson","GiniSimpso","Beta_Avg","Beta_Min","Beta_Max","NDVI_med_mn","NDVI_med_sd","NDVI_max_mn","NDVI_max_sd","NDVI_MAD_mn","NDVI_MAD_sd"
"0",15,4,1,"4 | 15","15","21",40.37583747,"12","8","4","9","12","5","4","8",0.727272727,2.662687514,0.1025,9.756097561,0.8975,11,"6","15",0.49134654802084,0.112977781261604,1.36322479571104,9.01072858027113,0.256159328712523,0.0697744644070332
"1",26,3,0,"3 | 26","26","10",21.38203176,"8","3","1","6","7","1","2","6",0.545454545,2.13219224,0.12465374,8.022222222,0.87534626,2.739130435,"0","6",0.530975467434526,0.0666540913569513,2.44773273810148,15.4373045949798,0.334246697187424,0.0662442449359882
"2",33,1,1,"1 | 33","33","21",38.06553235,"9","11","1","9","11","5","5","8",0.727272727,2.906663549,0.059591837,16.78082192,0.940408163,10.47826087,"7","17",0.5879249221012,0.12462585809498,7.92450825367868,38.6717041811022,0.239384472096339,0.0726090617655681
"3",67,2,1,"2 | 67","67","24",39.15199153,"11","8","5","11","15","5","4","7",0.636363636,2.94519521,0.062480763,16.00492611,0.937519237,11.65217391,"4","16",0.570725106360018,0.0899305113967798,5.13926874186099,25.3937519727841,0.304841953977197,0.0721467155818124
"4",73,3,1,"3 | 73","73","14",20.70903481,"10","7","4","3","9","3","2","7",0.636363636,2.345909557,0.113221329,8.832258065,0.886778671,8.086956522,"4","11",0.436633172942698,0.119817824376126,2.05329689256251,16.7201930312399,0.221365909807384,0.0657019046154255
"5",74,3,0,"3 | 74","74","9",12.43611098,"8","5","3","1","5","3","1","5",0.454545455,1.844621476,0.171597633,5.827586207,0.828402367,4.347826087,"0","7",0.385783153867722,0.110223756755506,1.31109059725404,5.49383669667411,0.21284132777527,0.0821993157929694
"6",78,1,1,"1 | 78","78","20",36.35994885,"10","8","7","5","12","6","2","7",0.636363636,2.79180208,0.070987654,14.08695652,0.929012346,11.39130435,"7","14",0.585943372943997,0.0742853722099713,3.02385630996823,16.5083128875516,0.238679732412845,0.0638844100352014
"7",82,1,1,"1 | 82","82","14",35.49597891,"10","6","1","7","7","3","4","6",0.545454545,2.51265853,0.0859375,11.63636364,0.9140625,6.173913043,"4","9",0.543474271976948,0.10940480685035,2.17451421989799,10.5389859628943,0.260282018108293,0.073092230430859
"8",85,2,0,"2 | 85","85","25",36.12401411,"12","10","4","11","16","6","3","7",0.636363636,2.99156921,0.057222222,17.47572816,0.942777778,12.73913043,"5","18",0.553791769328713,0.105001935882431,3.90619808641672,17.7172851001139,0.280814051611722,0.0765055131407782
"9",104,2,1,"2 | 104","104","17",26.54100199,"10","6","0","11","11","2","4","5",0.454545455,2.618376136,0.083984375,11.90697674,0.916015625,7.391304348,"4","14",0.599845903226733,0.120515693599484,5.00234613952935,30.7395798924431,0.245312272632495,0.0644223132117462
"10",108,6,1,"6 | 108","108","20",36.78194812,"11","7","2","11","11","5","4","7",0.636363636,2.805856358,0.072916667,13.71428571,0.927083333,9.086956522,"4","16",0.436269783700258,0.171709282938276,2.59964842350781,18.0148875630457,0.306492480422556,0.0771099394983196
"11",127,6,0,"6 | 127","127","17",27.67024003,"10","6","3","8","11","2","4","7",0.636363636,2.730703406,0.071111111,14.0625,0.928888889,7.304347826,"3","13",0.564169467206299,0.106814590824174,3.46362131824493,12.488428499215,0.297357178439572,0.0690397048444085
"12",169,6,0,"6 | 169","169","13",21.88686567,"9","3","2","8","10","1","2","6",0.545454545,2.35032726,0.107438017,9.307692308,0.892561983,5.347826087,"2","8",0.277894932724535,0.0903284313630257,0.834487928441167,0.482686879813903,0.351063306356966,0.0680511381007319
"13",176,5,1,"5 | 176","176","20",31.63361961,"11","11","1","8","11","5","4","8",0.727272727,2.635266709,0.098372781,10.16541353,0.901627219,10.2173913,"6","17",0.539822687098524,0.114842926884078,1.64577152813375,5.310156237263,0.250462526573055,0.0764017881133135
"14",180,4,1,"4 | 180","180","15",24.82793806,"8","7","2","6","9","4","2","6",0.545454545,2.388083304,0.112947658,8.853658537,0.887052342,8.173913043,"5","11",0.438899674880505,0.0722517186445809,0.785716702532768,0.117598157746186,0.230234583448619,0.0514843960673355
"15",185,4,1,"4 | 185","185","22",44.9435317,"12","12","1","9","13","6","3","6",0.545454545,2.918679592,0.061524334,16.25373134,0.938475666,10.69565217,"6","17",0.382459305974841,0.117050242672586,1.58605219890177,14.7025853545834,0.338284134481847,0.0754535612423579
"16",190,1,1,"1 | 190","190","16",24.74482298,"9","7","1","8","12","2","2","6",0.545454545,2.62725735,0.081726354,12.23595506,0.918273646,6.260869565,"2","13",0.575150167426467,0.139088616114346,3.20357565999627,17.9820316096979,0.283282273534313,0.0974844300805875
"17",192,1,1,"1 | 192","192","15",25.1040267,"9","7","1","7","8","3","4","7",0.636363636,2.506293771,0.091906722,10.88059701,0.908093278,5.782608696,"2","12",0.50642551445812,0.165370362304875,1.0486021487236,2.86123586656045,0.197229561166093,0.0662122487145931
"18",198,5,1,"5 | 198","198","17",37.47710959,"9","11","0","6","10","4","3","5",0.454545455,2.658969359,0.081726354,12.23595506,0.918273646,8.739130435,"4","14",0.519652848616242,0.109389580875768,1.76242029642463,16.6906421064054,0.233937679278478,0.0648655035798401
"19",214,5,1,"5 | 214","214","15",23.77693763,"9","5","0","10","8","4","3","5",0.454545455,2.488327743,0.093333333,10.71428571,0.906666667,5.391304348,"1","13",0.530935495000333,0.123937698991854,2.53970751077384,20.0311409884506,0.224937548609078,0.0631882629262529
"20",249,5,1,"5 | 249","249","18",29.5778034,"12","9","3","6","9","4","5","8",0.727272727,2.513662671,0.109739369,9.1125,0.890260631,9.565217391,"5","16",0.527666240443289,0.11594472753683,2.91971346180141,16.4316897349502,0.215286936464161,0.0714963894336806
"21",252,5,1,"5 | 252","252","21",39.38644959,"12","8","4","9","12","6","3","7",0.636363636,2.860814668,0.065197429,15.33802817,0.934802571,10.08695652,"4","17",0.577603751440381,0.0965520351823346,1.39970865406394,5.59615799105939,0.244811549973115,0.0636929647366667
"22",292,5,1,"5 | 292","292","12",22.86580636,"7","4","1","7","4","3","5","7",0.636363636,2.24707945,0.1184573,8.441860465,0.8815427,4.608695652,"2","10",0.679023832631111,0.107690090951549,1.27137668744326,4.48945545666042,0.181858152680844,0.0488358984990958
"23",303,1,1,"1 | 303","303","26",50.61146129,"11","13","4","9","10","8","8","9",0.818181818,2.943115455,0.068847656,14.5248227,0.931152344,14.65217391,"10","21",0.470691047573493,0.225018527334505,0.869004293271899,2.25785079280476,0.158501348631643,0.0679649526988777
